left_shoulder_x,right_shoulder_x,left_shoulder_z,right_shoulder_z
7.237921357154846191e-01,3.359178602695465088e-01,-5.619190335273742676e-01,-5.392819046974182129e-01
7.242519259452819824e-01,3.358731269836425781e-01,-5.650140047073364258e-01,-5.666618347167968750e-01
7.243753075599670410e-01,3.357453942298889160e-01,-5.605669617652893066e-01,-5.591838955879211426e-01
7.243197560310363770e-01,3.357558250427246094e-01,-5.352903008460998535e-01,-5.527828931808471680e-01
7.242501974105834961e-01,3.359662890434265137e-01,-5.479242205619812012e-01,-5.551196336746215820e-01
7.242501378059387207e-01,3.362146914005279541e-01,-5.257197618484497070e-01,-5.449116826057434082e-01
7.242354750633239746e-01,3.375429213047027588e-01,-5.246285796165466309e-01,-4.972809553146362305e-01
7.246698141098022461e-01,3.391484320163726807e-01,-5.402034521102905273e-01,-5.000333786010742188e-01
7.249221205711364746e-01,3.394803404808044434e-01,-5.241433382034301758e-01,-4.992437958717346191e-01
7.254363298416137695e-01,3.394591212272644043e-01,-5.235992074012756348e-01,-5.017334818840026855e-01
7.278996109962463379e-01,3.395038545131683350e-01,-5.052489042282104492e-01,-4.770847856998443604e-01
7.280046343803405762e-01,3.394797146320343018e-01,-4.676243364810943604e-01,-4.675455689430236816e-01
7.279934287071228027e-01,3.394390046596527100e-01,-4.751034379005432129e-01,-4.688457250595092773e-01
7.283160090446472168e-01,3.390178680419921875e-01,-4.809976220130920410e-01,-4.610314071178436279e-01
7.287841439247131348e-01,3.389934897422790527e-01,-5.227078199386596680e-01,-4.644767343997955322e-01
7.287151813507080078e-01,3.389106690883636475e-01,-5.314594507217407227e-01,-4.684373736381530762e-01
7.287091016769409180e-01,3.378168344497680664e-01,-5.298756361007690430e-01,-4.798907339572906494e-01
7.287018895149230957e-01,3.374122977256774902e-01,-5.088084936141967773e-01,-4.569462537765502930e-01
7.286954522132873535e-01,3.367798626422882080e-01,-5.006033778190612793e-01,-4.369972646236419678e-01
7.286898493766784668e-01,3.364441096782684326e-01,-5.013620257377624512e-01,-4.456075727939605713e-01
7.286085486412048340e-01,3.363004922866821289e-01,-4.915518164634704590e-01,-4.207008481025695801e-01
7.286112308502197266e-01,3.363400697708129883e-01,-4.866959154605865479e-01,-4.225144386291503906e-01
7.285510897636413574e-01,3.363701105117797852e-01,-4.885096848011016846e-01,-4.256064593791961670e-01
7.285444736480712891e-01,3.365668058395385742e-01,-4.859158098697662354e-01,-4.291949868202209473e-01
7.285378575325012207e-01,3.365997076034545898e-01,-4.750779271125793457e-01,-4.198409616947174072e-01
7.284824848175048828e-01,3.365979790687561035e-01,-4.776439666748046875e-01,-4.261258840560913086e-01
7.284685969352722168e-01,3.368899524211883545e-01,-5.436853170394897461e-01,-5.019801855087280273e-01
7.285166978836059570e-01,3.374245762825012207e-01,-5.518281459808349609e-01,-5.284681320190429688e-01
7.282219529151916504e-01,3.379914164543151855e-01,-5.444938540458679199e-01,-5.498421192169189453e-01
7.276356816291809082e-01,3.384928107261657715e-01,-5.422569513320922852e-01,-5.441836714744567871e-01
7.273918986320495605e-01,3.385206758975982666e-01,-5.407978892326354980e-01,-5.327140092849731445e-01
7.274023890495300293e-01,3.387237489223480225e-01,-5.401743054389953613e-01,-5.275860428810119629e-01
7.274965643882751465e-01,3.379039466381072998e-01,-5.215988755226135254e-01,-5.246537923812866211e-01
7.276560664176940918e-01,3.375253677368164062e-01,-5.013813972473144531e-01,-5.210636854171752930e-01
7.278009653091430664e-01,3.372052609920501709e-01,-4.933919012546539307e-01,-5.175745487213134766e-01
7.279049754142761230e-01,3.367717862129211426e-01,-4.839336574077606201e-01,-5.114190578460693359e-01
7.279630899429321289e-01,3.362225592136383057e-01,-4.833103120326995850e-01,-5.100173354148864746e-01
7.279210686683654785e-01,3.365242779254913330e-01,-5.105037093162536621e-01,-5.319343805313110352e-01
7.281182408332824707e-01,3.370114564895629883e-01,-5.232855677604675293e-01,-5.432586669921875000e-01
7.282907366752624512e-01,3.378054201602935791e-01,-5.099794268608093262e-01,-5.257647037506103516e-01
7.283334732055664062e-01,3.377450406551361084e-01,-4.975972175598144531e-01,-5.202300548553466797e-01
7.284716963768005371e-01,3.375145494937896729e-01,-4.955805838108062744e-01,-5.161855220794677734e-01
7.284961342811584473e-01,3.375062346458435059e-01,-5.081818699836730957e-01,-5.324334502220153809e-01
7.293064594268798828e-01,3.374628722667694092e-01,-5.138887166976928711e-01,-5.220574736595153809e-01
7.297523021697998047e-01,3.373928368091583252e-01,-5.035194754600524902e-01,-4.886694550514221191e-01
7.306413650512695312e-01,3.375531136989593506e-01,-5.064481496810913086e-01,-4.853338003158569336e-01
7.306680679321289062e-01,3.406815230846405029e-01,-4.677203297615051270e-01,-4.493369460105895996e-01
7.308298349380493164e-01,3.430694639682769775e-01,-4.738051295280456543e-01,-4.603028893470764160e-01
7.312782406806945801e-01,3.427966535091400146e-01,-4.742299020290374756e-01,-4.609521925449371338e-01
7.309295535087585449e-01,3.423733115196228027e-01,-4.760345518589019775e-01,-4.650523364543914795e-01
7.307628989219665527e-01,3.414125442504882812e-01,-4.664492309093475342e-01,-4.445240199565887451e-01
7.306739091873168945e-01,3.407173752784729004e-01,-4.812055230140686035e-01,-4.505175650119781494e-01
7.308522462844848633e-01,3.398744761943817139e-01,-4.950112700462341309e-01,-4.538158774375915527e-01
7.308304905891418457e-01,3.394158780574798584e-01,-4.955213963985443115e-01,-4.697698652744293213e-01
7.308149933815002441e-01,3.393930494785308838e-01,-4.914330542087554932e-01,-4.700369536876678467e-01
7.308006882667541504e-01,3.393765985965728760e-01,-4.653247296810150146e-01,-4.456685483455657959e-01
7.309195399284362793e-01,3.393621742725372314e-01,-4.684383571147918701e-01,-4.395082890987396240e-01
7.305810451507568359e-01,3.389115929603576660e-01,-4.976337552070617676e-01,-5.110082030296325684e-01
7.305127382278442383e-01,3.388709425926208496e-01,-5.186382532119750977e-01,-5.423917770385742188e-01
7.303787469863891602e-01,3.382623791694641113e-01,-5.095409750938415527e-01,-5.273711681365966797e-01
7.303355336189270020e-01,3.367184698581695557e-01,-5.081260800361633301e-01,-5.191757082939147949e-01
7.301821112632751465e-01,3.350387811660766602e-01,-5.136444568634033203e-01,-5.268126130104064941e-01
7.301989793777465820e-01,3.304297029972076416e-01,-5.446969866752624512e-01,-5.222157835960388184e-01
7.314862012863159180e-01,3.279371857643127441e-01,-5.554007887840270996e-01,-5.185344219207763672e-01
